PC1,PC2,classe,conjunto
1.4357998768011937,2.422575018319106,defeituoso,treino
-1.4744052218361465,-0.3765518613650644,ok,treino
-3.2634186560132195,-2.544902154680813,ok,treino
1.1547602423065773,2.9515752374640964,defeituoso,treino
-2.5054451006847227,-0.10074420378887372,ok,treino
-0.9663458793120474,-0.7398391164840389,ok,treino
0.503641188927852,0.697005743864058,ok,treino
1.905242225536107,3.0285811517624484,defeituoso,treino
-2.1339475003201356,-0.4124156951868586,ok,treino
-1.6488174970411444,-0.5466014347394962,defeituoso,treino
-1.9178904096707863,-0.033886703665591794,ok,treino
-1.2835576165183022,-0.4626573703967893,ok,treino
-1.4296559734510441,1.3431437462670535,ok,treino
3.6781372319264993,3.733967978340085,defeituoso,treino
-3.2390880134851066,-3.381963358035396,ok,treino
-0.8042891225797739,-0.5052855633073374,ok,treino
-1.6639584007451127,0.2037306856574578,ok,treino
-2.167385861339874,-3.8459652358808465,ok,treino
-3.539418794154738,-2.7641541074720544,ok,treino
-2.1004962064931836,-1.5478256647058903,ok,treino
-1.1073652442043525,0.9947958256409133,defeituoso,treino
-2.2303913168966503,0.9123253132962735,defeituoso,treino
9.21720031726153,-7.7062702082265355,ok,treino
1.0995922427002869,0.4564913901471984,defeituoso,treino
-0.10111298406239372,-3.4067192003764797,defeituoso,treino
4.358760317280087,-3.5493507245188383,ok,treino
-0.8607406438610148,-0.06186359464739267,ok,treino
0.7400345292651531,2.856993694656629,defeituoso,treino
-2.8490314860553783,-0.7430683727138471,ok,treino
6.268648102693348,-2.0642297537845455,ok,treino
2.572480278658677,2.819689162646236,defeituoso,treino
5.756641596135935,-2.334211011875903,ok,treino
2.251636213435829,2.7104419859984445,defeituoso,treino
2.343692582763095,0.6281411465944491,defeituoso,treino
1.802674964920751,1.0302290460568462,defeituoso,treino
0.04524167505757558,2.7740065996206726,defeituoso,treino
-0.1309637698765689,1.4726037538382843,defeituoso,treino
-1.152203267453012,0.8424521035428002,defeituoso,treino
-0.0505761482863064,1.1668274616363787,defeituoso,treino
2.9598611463823885,3.362799606689928,defeituoso,treino
0.10875816573085227,-4.865783288424195,defeituoso,treino
1.634618001864084,1.710273404984098,defeituoso,treino
