modelo,accuracy_test,precision_defeituoso_test,recall_defeituoso_test,f1_defeituoso_test,erros_test
Random Forest,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,2
SVM,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,1
