modelo,melhores_parametros,f1_medio_cv,accuracy_val,f1_defeituoso_val,erros_val,accuracy_test,precision_defeituoso_test,recall_defeituoso_test,f1_defeituoso_test,erros_test
SVM ajustado,"{'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.9427330779054917,1.0,1.0,0,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104,1
Random Forest ajustado,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9565365668813947,0.9666666666666667,0.9655172413793104,1,0.9,0.9285714285714286,0.8666666666666667,0.896551724137931,3
