area,perimeter,eccentricity,solidity,extent,circularity,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,filename
22530.0,587.1025971044414,0.6368195400014894,0.982384233016482,0.7822916666666667,0.8213779740471454,3.1895969633447656,7.568356136933913,12.246394208382364,13.907436860946937,26.990559469446172,17.69735716543637,27.75938224188439,137.29436307146028,111.19023524189969,74.67212605415003,42.155827524018626,40.52758407670324,34.3674751245154,17.038482023968044,121.10399467376831,137.29436307146028,2.150729766891359,33.55471139680938,42.155827524018626,36.17860521042084,0.9255724346475455,0.9090957260223659,0.9852619932367942,ok_0001.jpg
20797.0,556.6589462905455,0.7079335177034689,0.9882626877019578,0.7777486910994764,0.8433972283746716,3.178689938585874,7.308914810078402,12.45193613091652,13.91622873139886,27.230196797917234,17.770226992213523,-27.27362306913998,113.26412463336058,86.1150165889311,55.24710294754051,38.61250229685333,34.13997452083929,28.186182615150546,15.599365293071116,133.80949175361832,113.26412463336058,1.7446765640141095,33.74215493251258,38.61250229685333,35.91794789579159,0.9347245092960568,0.9158816738010742,0.9752930333671609,ok_0002.jpg
102383.0,2818.8620484583753,0.6025019585690955,0.8331543056165878,0.63989375,0.16191611313742424,3.1035423450789628,7.515343628391421,9.773205958969724,11.187986236731618,22.922883367472544,-15.029059294725919,-21.669256592932733,145.42542218923063,138.79863844583573,117.14953654415284,35.68596423029091,41.324080648529325,54.09846956866933,24.624849828584825,61.79134231268863,145.43044255393963,2.6153284182454373,62.863115921386324,35.68896851985432,167.84284569138276,0.8052530206981029,0.5876188430566553,0.9841832136647681,ok_0003.jpg
248932.0,2105.656854249492,0.1236305969051672,0.995728,0.995728,0.705529854576664,3.1843149782127194,10.595522604198587,13.518843642828395,15.469881018549447,-29.965623866922318,-20.768198686926542,31.063289413118458,135.9058578246268,131.8234899490624,118.48523693217425,25.338044946154877,27.95886815433568,31.73863847854441,24.468055533237994,35.302821654106346,135.91040123407197,2.359543182760258,36.39851869561689,25.334778979484863,2.8305531062124256,0.8478899231245948,0.08925434028488319,0.9982493137572519,ok_0004.jpg
22989.0,582.1736649163068,0.6397464983758029,0.9858484497619967,0.8090160472972973,0.8523634773769814,3.189383890774674,7.55792600685011,13.015358301956393,14.725995226338382,-28.995083807497494,-18.8721602340607,28.63444259531086,84.94827961198834,70.50554613075819,42.749967375701424,32.37696608212992,31.4809176657697,29.97423808141383,19.694071077471833,138.42481186654487,84.94827961198834,2.4179376096258522,38.286195405051025,32.37696608212992,42.099551102204416,0.9242465453878096,0.9072650855035443,0.9595713675300462,ok_0005.jpg
16671.0,607.0609665440987,0.7572820278643143,0.9515410958904109,0.689454094292804,0.5684691451831556,3.155176325405723,7.1018801733533445,10.725188202277918,11.964739273208393,23.76211512565555,-17.067628088147465,23.33857539216226,109.29818247255713,91.60056385339811,59.20178753524084,28.775029513306517,32.98710460958447,34.994592576731044,20.230280127166935,126.90750404894727,109.49571111511007,5.388393845161089,50.57123594791001,29.112806154256468,40.93333066132266,0.9426220386743427,0.9323817104131958,0.9663491698666448,ok_0006.jpg
22045.0,623.8305191657992,0.4248194347698319,0.9664620780359492,0.7495240038079696,0.7118471195253187,3.2007409973630683,8.408582187773142,11.99186020608644,14.58506742490037,-28.056114683672632,-18.808611823184993,27.996109974468176,60.1242458607394,49.823452029938764,39.976684055341345,29.940425228321114,29.167497045298923,26.899927122274622,14.949285552279429,100.47080970741665,60.12928101610343,11.595048452523178,44.11660792551415,29.93296324222131,33.126509018036096,0.9225696599114888,0.910987380001536,0.9430568070847724,ok_0007.jpg
25880.0,644.6173157302028,0.3113574527893639,0.973774316138014,0.7562607755471786,0.7826547066256052,3.2020495288725086,8.989965376427438,11.530522367755898,14.282672077970835,-27.83032961867457,-18.82099384490982,-27.2009167016211,60.97724111282844,48.32132921174652,37.222604327666154,25.07212593767495,23.313242107953304,21.330725906896607,13.933809891808346,106.07503863987635,60.97770479134467,2.7805880446791726,34.06733733002064,25.072070872869894,20.40165130260522,0.9278107905334271,0.8955467412117123,0.9656758935228583,ok_0008.jpg
22094.0,615.0609665440987,0.5520807000849282,0.9674227165250897,0.7587225274725274,0.7339185773446582,3.1963906893938967,7.883216541440603,12.805904199624653,14.270027355061307,27.881124828995855,18.331862643771974,28.079858049925253,83.60138499140038,64.11835792522857,32.80474336924052,29.926461872336407,29.47352491409929,31.75584477143395,18.782655924685436,168.24382185208654,83.61202136326604,10.802426550482755,65.21376910441616,29.897827163850604,38.11929458917836,0.9231613903575098,0.9107509606451233,0.9557674541040851,ok_0009.jpg
13219.0,456.048773235279,0.5311794295540466,0.9688507768982703,0.7878300256272722,0.7987040432848187,3.197218957242884,7.963442598011279,12.804594990163935,14.278781695796221,27.83051912781968,18.931929463273203,28.492789017176147,107.74733338376579,88.2382177169226,57.16612451773962,29.87358960502379,30.84885620608635,31.66146767734722,18.24252969210984,128.55412663590286,107.74733338376579,1.547210746607195,40.56653232750426,29.87358960502379,38.613466933867755,0.9543323328202912,0.9464375443341204,0.9580162536726404,ok_0010.jpg
